crag,total_routes,avg_stars_crag,num_routes_5.10a-d,avg_stars_5.10a-d,num_routes_5.7-5.9,avg_stars_5.7-5.9,num_routes_5.11a-d,avg_stars_5.11a-d,num_routes_5.12a-d,avg_stars_5.12a-d
Little Eiger > Clear Creek Canyon > Golden > Colorado,26,2.52,11.0,2.45,3.0,2.43,9.0,2.67,3.0,2.43
The Catslab > Clear Creek Canyon > Golden > Colorado,17,2.44,8.0,2.49,6.0,2.45,2.0,2.65,1.0,1.5
River Wall > Clear Creek Canyon > Golden > Colorado,26,2.4,7.0,2.53,4.0,2.0,7.0,2.06,8.0,2.8
The Red Slab > Clear Creek Canyon > Golden > Colorado,11,2.27,7.0,2.31,2.0,2.1,1.0,2.1,1.0,2.5
High Wire Crag > Clear Creek Canyon > Golden > Colorado,32,2.32,7.0,2.23,8.0,2.24,7.0,2.43,10.0,2.37
Live Action Wall > Clear Creek Canyon > Golden > Colorado,24,1.86,6.0,1.67,6.0,1.65,9.0,2.11,3.0,1.9
The Graveyard > Clear Creek Canyon > Golden > Colorado,18,2.64,5.0,2.56,4.0,2.1,2.0,3.1,7.0,2.89
Death Valley > Clear Creek Canyon > Golden > Colorado,12,2.27,5.0,2.34,4.0,2.1,1.0,2.7,2.0,2.25
Creek Side > Clear Creek Canyon > Golden > Colorado,25,2.58,5.0,2.16,12.0,2.38,3.0,3.07,5.0,3.22
East Colfax > Clear Creek Canyon > Golden > Colorado,17,2.21,5.0,2.16,7.0,2.23,3.0,2.47,2.0,1.9
The Oz > Clear Creek Canyon > Golden > Colorado,13,1.75,5.0,2.12,6.0,1.48,1.0,2.3,1.0,1.0
The Highlands aka Highlander > Clear Creek Canyon > Golden > Colorado,24,2.26,5.0,2.06,2.0,1.7,9.0,2.46,8.0,2.3
Other Critters > Clear Creek Canyon > Golden > Colorado,16,2.21,3.0,2.37,11.0,2.12,1.0,2.6,1.0,2.3
The Fiscal Cliff > Clear Creek Canyon > Golden > Colorado,19,2.07,2.0,1.55,3.0,1.93,5.0,2.1,9.0,2.22
Low Wire > Clear Creek Canyon > Golden > Colorado,8,2.49,1.0,2.5,1.0,2.1,2.0,2.5,4.0,2.58
The Dog House > Clear Creek Canyon > Golden > Colorado,14,2.53,1.0,2.4,3.0,2.2,2.0,2.7,8.0,2.62
Stoked Bowl > Clear Creek Canyon > Golden > Colorado,5,1.72,1.0,1.5,1.0,1.3,2.0,1.8,1.0,2.2
