Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Herbal Essence","Little Eiger > Clear Creek Canyon > Golden > Colorado",https://www.mountainproject.com/route/105867446/herbal-essence,2.5,-1,Sport,5.9,1,80,39.7432,-105.2991
"""Is Our Children Learning?""","Little Eiger > Clear Creek Canyon > Golden > Colorado",https://www.mountainproject.com/route/105985777/is-our-children-learning,2.1,-1,Sport,5.9+,1,115,39.7432,-105.2991
"First Impressions","Little Eiger > Clear Creek Canyon > Golden > Colorado",https://www.mountainproject.com/route/105749461/first-impressions,2.7,-1,Sport,5.9+,1,,39.7432,-105.2991
Footloose,"Little Eiger > Clear Creek Canyon > Golden > Colorado",https://www.mountainproject.com/route/105752602/footloose,2.1,-1,Sport,5.10a,1,,39.7432,-105.2991
Headline,"Little Eiger > Clear Creek Canyon > Golden > Colorado",https://www.mountainproject.com/route/105757051/headline,2.8,-1,"Trad, Sport",5.10a,1,80,39.7432,-105.2991
"Persistent Vegetative State","Little Eiger > Clear Creek Canyon > Golden > Colorado",https://www.mountainproject.com/route/105764160/persistent-vegetative-state,3.1,-1,Sport,5.10a/b,1,115,39.7432,-105.2991
"The Decider","Little Eiger > Clear Creek Canyon > Golden > Colorado",https://www.mountainproject.com/route/105822639/the-decider,2.1,-1,Sport,5.10b,1,100,39.7432,-105.2991
"Busch Gardens","Little Eiger > Clear Creek Canyon > Golden > Colorado",https://www.mountainproject.com/route/105762975/busch-gardens,2.9,-1,Sport,5.10,1,100,39.7432,-105.2991
"The Naked Hedge","Little Eiger > Clear Creek Canyon > Golden > Colorado",https://www.mountainproject.com/route/105763197/the-naked-hedge,2.4,-1,Sport,5.10,1,100,39.7432,-105.2991
"Bush Administration","Little Eiger > Clear Creek Canyon > Golden > Colorado",https://www.mountainproject.com/route/105762957/bush-administration,3.0,-1,Sport,5.10b/c,1,110,39.7432,-105.2991
Misunderestimate,"Little Eiger > Clear Creek Canyon > Golden > Colorado",https://www.mountainproject.com/route/105827433/misunderestimate,2.4,-1,Sport,5.10b/c,1,104,39.7432,-105.2991
Bonehead,"Little Eiger > Clear Creek Canyon > Golden > Colorado",https://www.mountainproject.com/route/105752005/bonehead,2.2,-1,Sport,5.10c/d,1,50,39.7432,-105.2991
"Eiffel Tower","Little Eiger > Clear Creek Canyon > Golden > Colorado",https://www.mountainproject.com/route/105749182/eiffel-tower,2.4,-1,Sport,5.10d,1,80,39.7432,-105.2991
"Eiger Sanction","Little Eiger > Clear Creek Canyon > Golden > Colorado",https://www.mountainproject.com/route/105752599/eiger-sanction,2.4,-1,Sport,5.10d,1,80,39.7432,-105.2991
Trouthead,"Little Eiger > Clear Creek Canyon > Golden > Colorado",https://www.mountainproject.com/route/105761169/trouthead,2.0,-1,Sport,5.10d,1,70,39.7432,-105.2991
"The Green Zone","Little Eiger > Clear Creek Canyon > Golden > Colorado",https://www.mountainproject.com/route/105764079/the-green-zone,2.7,-1,Sport,5.11a,1,100,39.7432,-105.2991
"Tierra Del Fuego","Little Eiger > Clear Creek Canyon > Golden > Colorado",https://www.mountainproject.com/route/105763815/tierra-del-fuego,2.6,-1,Sport,5.11b,1,100,39.7432,-105.2991
"Free Up The Weed","Little Eiger > Clear Creek Canyon > Golden > Colorado",https://www.mountainproject.com/route/105764232/free-up-the-weed,2.3,-1,Sport,5.11b,1,120,39.7432,-105.2991
"Tsunami Of Charisma","Little Eiger > Clear Creek Canyon > Golden > Colorado",https://www.mountainproject.com/route/105829983/tsunami-of-charisma,3.0,-1,Sport,5.11b,1,115,39.7432,-105.2991
"Natural Selection","Little Eiger > Clear Creek Canyon > Golden > Colorado",https://www.mountainproject.com/route/105748235/natural-selection,2.4,-1,Sport,5.11b,1,150,39.7432,-105.2991
"The Nordwand","Little Eiger > Clear Creek Canyon > Golden > Colorado",https://www.mountainproject.com/route/105748244/the-nordwand,2.8,-1,Sport,5.11b,2,,39.7432,-105.2991
Conehead,"Little Eiger > Clear Creek Canyon > Golden > Colorado",https://www.mountainproject.com/route/105752596/conehead,2.4,-1,Sport,5.11b,1,,39.7432,-105.2991
"Radometer in the Red Zone","Little Eiger > Clear Creek Canyon > Golden > Colorado",https://www.mountainproject.com/route/105751579/radometer-in-the-red-zone,2.6,-1,Sport,5.11c,1,65,39.7432,-105.2991
"Eiger Direct","Little Eiger > Clear Creek Canyon > Golden > Colorado",https://www.mountainproject.com/route/105751756/eiger-direct,3.2,-1,Sport,5.11d,1,85,39.7432,-105.2991
"Tierra Del Fuego (extension)","Little Eiger > Clear Creek Canyon > Golden > Colorado",https://www.mountainproject.com/route/113073894/tierra-del-fuego-extension,2.4,-1,Sport,5.12a,1,105,39.7432,-105.2991
"Delusions of Grandeur","Little Eiger > Clear Creek Canyon > Golden > Colorado",https://www.mountainproject.com/route/106064047/delusions-of-grandeur,2.0,-1,Sport,5.12b,1,50,39.7432,-105.2991
Too!,"Little Eiger > Clear Creek Canyon > Golden > Colorado",https://www.mountainproject.com/route/105748253/too,2.9,-1,Sport,5.12b,4,410,39.7432,-105.2991
"Stone Cold Moderate","High Wire Crag > Clear Creek Canyon > Golden > Colorado",https://www.mountainproject.com/route/105748894/stone-cold-moderate,2.0,-1,Sport,5.7,1,100,39.7378,-105.3196
"Pony Up","High Wire Crag > Clear Creek Canyon > Golden > Colorado",https://www.mountainproject.com/route/105748262/pony-up,2.1,-1,Sport,5.8,1,,39.7378,-105.3196
"Nickels and Dimes","High Wire Crag > Clear Creek Canyon > Golden > Colorado",https://www.mountainproject.com/route/105749458/nickels-and-dimes,2.1,-1,Sport,5.8+,1,60,39.7378,-105.3196
"Poker Face","High Wire Crag > Clear Creek Canyon > Golden > Colorado",https://www.mountainproject.com/route/105752698/poker-face,2.2,-1,"Sport, TR",5.8+,1,,39.7378,-105.3196
"5th of July","High Wire Crag > Clear Creek Canyon > Golden > Colorado",https://www.mountainproject.com/route/105748271/5th-of-july,2.9,-1,Sport,5.9,1,,39.7378,-105.3196
"Cracker Jack","High Wire Crag > Clear Creek Canyon > Golden > Colorado",https://www.mountainproject.com/route/105748286/cracker-jack,2.1,-1,Sport,5.9,1,80,39.7378,-105.3196
"Passing Lane","High Wire Crag > Clear Creek Canyon > Golden > Colorado",https://www.mountainproject.com/route/105755146/passing-lane,1.9,-1,Sport,"5.9 PG13",1,80,39.7378,-105.3196
"Everything Rhymes with Orange","High Wire Crag > Clear Creek Canyon > Golden > Colorado",https://www.mountainproject.com/route/112535700/everything-rhymes-with-orange,2.6,-1,Sport,5.9,1,85,39.7378,-105.3196
