crag,total_routes,avg_stars_crag,num_routes_<= 5.6,avg_stars_<= 5.6,num_routes_5.7-5.9,avg_stars_5.7-5.9,num_routes_5.10a-d,avg_stars_5.10a-d,num_routes_5.11a-d,avg_stars_5.11a-d,num_routes_5.12a-d,avg_stars_5.12a-d
SnowBird Slab/Cornerstone > Reed Lakes Bouldering and Climbing > Hatcher Pass > Anchorage & South Central Alaska > Alaska,13,2.43,3.0,2.53,7.0,2.5,3.0,2.17,,,,
Troublemint Peak > Mint Area > Hatcher Pass > Anchorage & South Central Alaska > Alaska,2,3.5,2.0,3.5,,,,,,,,
The Gargoyle > Archangel Valley Sport and Traditional Climbing > Hatcher Pass > Anchorage & South Central Alaska > Alaska,2,3.25,2.0,3.25,,,,,,,,
Nugget Boulder > Lower Reed Valley Bouldering > Reed Lakes Bouldering > Reed Lakes Bouldering and Climbing > Hatcher Pass > Anchorage & South Central Alaska > Alaska,5,2.36,2.0,2.6,2.0,2.0,,,1.0,2.6,,
Outpost Peak > Reed Lakes Bouldering and Climbing > Hatcher Pass > Anchorage & South Central Alaska > Alaska,1,3.5,1.0,3.5,,,,,,,,
The Monolith > Archangel Valley Sport and Traditional Climbing > Hatcher Pass > Anchorage & South Central Alaska > Alaska,20,2.63,1.0,2.3,11.0,2.46,6.0,3.08,2.0,2.35,,
The Crack Garden > The Crack Garden > Reed Lakes Bouldering and Climbing > Hatcher Pass > Anchorage & South Central Alaska > Alaska,9,2.7,1.0,2.0,7.0,2.84,1.0,2.4,,,,
Moai Wall > Independence Mine Bouldering and Climbing > Hatcher Pass > Anchorage & South Central Alaska > Alaska,4,3.0,1.0,2.0,2.0,3.0,1.0,4.0,,,,
Upper Tier walls > Independence Mine Bouldering and Climbing > Hatcher Pass > Anchorage & South Central Alaska > Alaska,1,2.0,1.0,2.0,,,,,,,,
Zulu Wall > Archangel Valley Sport and Traditional Climbing > Hatcher Pass > Anchorage & South Central Alaska > Alaska,12,2.7,1.0,1.0,7.0,2.66,2.0,3.9,1.0,3.0,1.0,2.0
The Sugar Cube > Fairangel Gap and Valley > Archangel Valley Sport and Traditional Climbing > Hatcher Pass > Anchorage & South Central Alaska > Alaska,4,2.0,1.0,1.0,1.0,2.0,1.0,2.0,,,1.0,3.0
The Jungle Gym > Archangel Valley Sport and Traditional Climbing > Hatcher Pass > Anchorage & South Central Alaska > Alaska,9,2.73,,,9.0,2.73,,,,,,
Tunnel Vision Wall > Fairangel Gap and Valley > Archangel Valley Sport and Traditional Climbing > Hatcher Pass > Anchorage & South Central Alaska > Alaska,10,2.84,,,7.0,2.74,1.0,2.2,2.0,3.5,,
Ramparts Wall > Independence Mine Bouldering and Climbing > Hatcher Pass > Anchorage & South Central Alaska > Alaska,14,2.75,,,5.0,2.32,9.0,2.99,,,,
The Diamond > Archangel Valley Sport and Traditional Climbing > Hatcher Pass > Anchorage & South Central Alaska > Alaska,12,2.47,,,5.0,2.12,6.0,2.67,1.0,3.0,,
