Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Ruby Shoes","The Diamond > Archangel Valley Sport and Traditional Climbing > Hatcher Pass > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/108221019/ruby-shoes,2.5,-1,Trad,5.7,2,200,61.81501,-149.243
"Tik Tok","The Diamond > Archangel Valley Sport and Traditional Climbing > Hatcher Pass > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/106803033/tik-tok,2.8,-1,Trad,5.8,1,130,61.81501,-149.243
"Auntie M","The Diamond > Archangel Valley Sport and Traditional Climbing > Hatcher Pass > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/111951054/auntie-m,2.0,-1,Trad,5.8+,1,130,61.81501,-149.243
Unknown,"The Diamond > Archangel Valley Sport and Traditional Climbing > Hatcher Pass > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/110563735/unknown,1.8,-1,Trad,5.9,3,,61.81501,-149.243
"Psycho Bitch","The Diamond > Archangel Valley Sport and Traditional Climbing > Hatcher Pass > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/108366927/psycho-bitch,1.5,-1,Sport,5.9+,1,,61.81501,-149.243
"Secret Lover","The Diamond > Archangel Valley Sport and Traditional Climbing > Hatcher Pass > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/110739851/secret-lover,1.5,-1,Trad,5.10a,1,,61.81501,-149.243
"True Grit","The Diamond > Archangel Valley Sport and Traditional Climbing > Hatcher Pass > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/111951015/true-grit,1.8,-1,Trad,5.10a,1,90,61.81501,-149.243
Toto,"The Diamond > Archangel Valley Sport and Traditional Climbing > Hatcher Pass > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/106207971/toto,3.4,-1,Trad,5.10a/b,6,500,61.81501,-149.243
Festoon,"The Diamond > Archangel Valley Sport and Traditional Climbing > Hatcher Pass > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/108221052/festoon,3.3,-1,Trad,5.10a/b,1,70,61.81501,-149.243
"Toto to the Pinnacle link up","The Diamond > Archangel Valley Sport and Traditional Climbing > Hatcher Pass > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/110933946/toto-to-the-pinnacle-link-up,4.0,-1,Trad,5.10b,1,1800,61.81501,-149.243
Hatari,"The Diamond > Archangel Valley Sport and Traditional Climbing > Hatcher Pass > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/110648280/hatari,2.0,-1,Trad,"5.10d R",1,85,61.81501,-149.243
"Trusting Aborigines","The Diamond > Archangel Valley Sport and Traditional Climbing > Hatcher Pass > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/110616302/trusting-aborigines,3.0,-1,Sport,5.11-,1,80,61.81501,-149.243
Chickenhead,"The Monolith > Archangel Valley Sport and Traditional Climbing > Hatcher Pass > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/106768344/chickenhead,2.3,-1,Trad,"5.4 PG13",1,95,61.82504,-149.24309
"The Slot","The Monolith > Archangel Valley Sport and Traditional Climbing > Hatcher Pass > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/106770056/the-slot,3.0,-1,Trad,5.7,1,70,61.82504,-149.24309
"Inside Right","The Monolith > Archangel Valley Sport and Traditional Climbing > Hatcher Pass > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/109140849/inside-right,2.0,-1,Trad,5.7,1,70,61.82504,-149.24309
"Duct tape crack","The Monolith > Archangel Valley Sport and Traditional Climbing > Hatcher Pass > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/110758745/duct-tape-crack,2.0,-1,Trad,5.7,1,70,61.82504,-149.24309
"Local Motion","The Monolith > Archangel Valley Sport and Traditional Climbing > Hatcher Pass > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/106768065/local-motion,2.4,-1,"Sport, TR","5.7+ PG13",1,150,61.82504,-149.24309
"Spring Fling","The Monolith > Archangel Valley Sport and Traditional Climbing > Hatcher Pass > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/111951111/spring-fling,1.8,-1,Trad,5.8,1,90,61.82504,-149.24309
"Just One More","The Monolith > Archangel Valley Sport and Traditional Climbing > Hatcher Pass > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/119505156/just-one-more,2.0,-1,Trad,5.8,1,70,61.82504,-149.24309
"Black Wall","The Monolith > Archangel Valley Sport and Traditional Climbing > Hatcher Pass > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/111951079/black-wall,2.3,-1,Trad,5.8+,1,90,61.82504,-149.24309
"Checkered Dog","The Monolith > Archangel Valley Sport and Traditional Climbing > Hatcher Pass > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/109138090/checkered-dog,2.6,-1,Trad,5.9,1,75,61.82504,-149.24309
Flakey,"The Monolith > Archangel Valley Sport and Traditional Climbing > Hatcher Pass > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/109138107/flakey,2.9,-1,Trad,5.9,1,70,61.82504,-149.24309
"Orangutan Overhang","The Monolith > Archangel Valley Sport and Traditional Climbing > Hatcher Pass > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/106207126/orangutan-overhang,3.5,-1,Trad,5.9+,2,220,61.82504,-149.24309
Zigzag,"The Monolith > Archangel Valley Sport and Traditional Climbing > Hatcher Pass > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/106831834/zigzag,2.6,-1,"Trad, Sport",5.9+,1,80,61.82504,-149.24309
