crag,total_routes,avg_stars_crag,num_routes_5.7-5.9,avg_stars_5.7-5.9,num_routes_5.10a-d,avg_stars_5.10a-d,num_routes_5.11a-d,avg_stars_5.11a-d
Panty Wall > 03-First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,14,2.46,7.0,2.43,3.0,2.5,3.0,2.53
Classic Rock Wall > 03-First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,18,2.6,6.0,2.25,9.0,2.74,3.0,2.87
Lower Level - Left > Lower Level > The Black Corridor > 04-Second Pullout (Calico II) > Red Rocks > Southern Nevada > Nevada,8,2.27,5.0,2.2,2.0,2.3,1.0,2.6
The Wake-Up Wall > Wake Up Wall Area > 05-Sandstone Quarry > Red Rocks > Southern Nevada > Nevada,18,2.38,5.0,1.88,5.0,2.48,8.0,2.62
The Fringe > 01-Calico Basin > Red Rocks > Southern Nevada > Nevada,21,2.4,4.0,2.1,8.0,2.45,7.0,2.67
Iron Man Wall > 03-First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,9,2.03,4.0,1.55,3.0,2.3,2.0,2.6
Right Wall > Front Corridor > Parking Lot Area > 05-Sandstone Quarry > Red Rocks > Southern Nevada > Nevada,11,2.53,3.0,2.5,3.0,2.5,5.0,2.56
Cactus Massacre > 03-First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,14,2.64,3.0,2.33,5.0,2.68,4.0,2.98
The Mass Production Wall > 05-Sandstone Quarry > Red Rocks > Southern Nevada > Nevada,7,2.33,3.0,2.07,3.0,2.43,1.0,2.8
The Gallery > 04-Second Pullout (Calico II) > Red Rocks > Southern Nevada > Nevada,12,2.4,3.0,1.87,4.0,2.17,5.0,2.9
Cannibal Crag > 01-Calico Basin > Red Rocks > Southern Nevada > Nevada,11,2.4,3.0,1.87,2.0,2.3,6.0,2.7
Running Man Wall > Parking Lot Area > 05-Sandstone Quarry > Red Rocks > Southern Nevada > Nevada,8,2.83,2.0,2.6,1.0,2.4,5.0,3.0
Hunter S. Thompson Dome > 04-Second Pullout (Calico II) > Red Rocks > Southern Nevada > Nevada,5,2.6,2.0,2.55,2.0,2.45,1.0,3.0
California 12a > 04-Second Pullout (Calico II) > Red Rocks > Southern Nevada > Nevada,5,2.28,2.0,2.35,1.0,2.6,2.0,2.05
Coco Crag > 01-Calico Basin > Red Rocks > Southern Nevada > Nevada,5,2.78,2.0,2.3,1.0,3.2,2.0,3.05
Avian Wall > The Trophy Area > 05-Sandstone Quarry > Red Rocks > Southern Nevada > Nevada,5,2.02,2.0,2.3,1.0,1.8,2.0,1.85
The Walrus > Wake Up Wall Area > 05-Sandstone Quarry > Red Rocks > Southern Nevada > Nevada,5,2.2,2.0,2.2,1.0,2.2,2.0,2.2
Sunny and Steep > Kraft Mountain Area > 01-Calico Basin > Red Rocks > Southern Nevada > Nevada,13,2.58,2.0,2.15,2.0,2.1,9.0,2.79
The Back Forty > 01-Calico Basin > Red Rocks > Southern Nevada > Nevada,4,1.6,2.0,1.8,1.0,2.1,1.0,0.7
The Oasis > 03-First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,8,2.41,2.0,1.55,2.0,2.5,4.0,2.8
Red Springs Rock Lower Tier (aka Jabba the Hutt Rock) > 01-Calico Basin > Red Rocks > Southern Nevada > Nevada,4,2.5,1.0,2.1,2.0,2.3,1.0,3.3
Red Springs Rock > 01-Calico Basin > Red Rocks > Southern Nevada > Nevada,7,2.41,1.0,2.0,2.0,2.3,4.0,2.58
Little Springs Crag > 01-Calico Basin > Red Rocks > Southern Nevada > Nevada,7,2.09,1.0,1.9,4.0,1.75,2.0,2.85
The Chasm > 03-First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,3,2.43,1.0,1.8,1.0,2.5,1.0,3.0
Hidden Falls Wall > 07-Willow Spring > Red Rocks > Southern Nevada > Nevada,3,2.17,1.0,1.8,1.0,2.5,1.0,2.2
Stratocaster Area > 04-Second Pullout (Calico II) > Red Rocks > Southern Nevada > Nevada,11,2.66,1.0,1.7,2.0,2.75,8.0,2.76
Janes Wall > 04-Second Pullout (Calico II) > Red Rocks > Southern Nevada > Nevada,7,2.34,1.0,1.6,3.0,2.37,3.0,2.57
Hall of Fame > Calico Tanks Area > 05-Sandstone Quarry > Red Rocks > Southern Nevada > Nevada,10,2.34,1.0,1.5,4.0,2.4,5.0,2.46
Your Wall > 01-Calico Basin > Red Rocks > Southern Nevada > Nevada,6,2.23,1.0,1.3,4.0,2.4,1.0,2.5
Newcastle Crag > 03-First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,5,2.2,1.0,1.3,1.0,2.2,3.0,2.5
