Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Bad Day at Black Rocks","Sunnyside Crags > 09-Icebox Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105957067/bad-day-at-black-rocks,1.6,-1,"Trad, Sport",5.10b,1,70,36.145,-115.49403
"Mister Freeze's Face","Sunnyside Crags > 09-Icebox Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105813406/mister-freezes-face,2.0,-1,"Trad, Sport",5.10d,1,130,36.145,-115.49403
"Grape Nuts","Refrigerator Wall > 09-Icebox Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105964379/grape-nuts,3.0,-1,Sport,"5.10c PG13",1,110,36.1437,-115.49583
"Sand Felipe","North Face > Whiskey Peak > 16-Black Velvet Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732785/sand-felipe,2.6,-1,Sport,5.10-,2,110,36.03509,-115.46345
"Miss Conception","North Face > Whiskey Peak > 16-Black Velvet Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105813521/miss-conception,2.8,-1,"Trad, Sport",5.10c,3,200,36.03509,-115.46345
Matzoland,"North Face > Whiskey Peak > 16-Black Velvet Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/107122807/matzoland,2.7,-1,Sport,5.12a,1,70,36.03509,-115.46345
"All the Right Moves","The Monument > 16-Black Velvet Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/120051824/all-the-right-moves,2.5,-1,"Trad, TR","5.11 R",1,60,36.03897,-115.46096
"West Edge Lane","The Monument > 16-Black Velvet Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/107435440/west-edge-lane,2.0,-1,Sport,5.11d,1,80,36.03897,-115.46096
"Yellow Brick Road","Black Velvet Wall > 16-Black Velvet Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732716/yellow-brick-road,3.3,-1,"Trad, Sport",5.10b,5,550,36.03518,-115.46652
"Prince of Darkness","Black Velvet Wall > 16-Black Velvet Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732458/prince-of-darkness,3.1,-1,"Trad, Sport",5.10c,6,700,36.03518,-115.46652
"Johnny Come Lately","Black Velvet Wall > 16-Black Velvet Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732806/johnny-come-lately,3.0,-1,Sport,5.10c,1,120,36.03518,-115.46652
Dogma,"Horseshoe Wall > 13-Mt. Wilson > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732656/dogma,3.6,-1,"Trad, Sport",5.11c,1,,36.09221,-115.48184
"Cat Walk","Dog Wall > 03-First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105880631/cat-walk,2.4,-1,Sport,5.10a/b,1,40,36.14745,-115.42927
"Pleasure Dog (aka It's a Bitch)","Dog Wall > 03-First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105880562/pleasure-dog-aka-its-a-bitch,2.5,-1,Sport,5.10b,1,50,36.14745,-115.42927
"Dog Logic (aka Here Kitty, Kitty)","Dog Wall > 03-First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105880567/dog-logic-aka-here-kitty-kitty,2.5,-1,Sport,5.11b,1,50,36.14745,-115.42927
"Poodle Chainsaw Massacre","Dog Wall > 03-First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/106347324/poodle-chainsaw-massacre,2.5,-1,Sport,5.11c,1,45,36.14745,-115.42927
Cujo,"Dog Wall > 03-First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105905259/cujo,3.1,-1,Sport,5.11d,1,30,36.14745,-115.42927
"Sierra Club Tower","Tuna and Chips Wall > 03-First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105882834/sierra-club-tower,1.8,-1,TR,5.6,1,40,36.14846,-115.42939
"Mac and Tuna","Tuna and Chips Wall > 03-First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/116486433/mac-and-tuna,2.5,-1,Sport,"5.6 R",1,80,36.14846,-115.42939
"Dolphin Safe","Tuna and Chips Wall > 03-First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/107015275/dolphin-safe,2.5,-1,"Trad, Sport","5.7 R",1,110,36.14846,-115.42939
"No Hay Sequia","Tuna and Chips Wall > 03-First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/116238857/no-hay-sequia,2.2,-1,Sport,5.7+,1,85,36.14846,-115.42939
"The Minnow","Tuna and Chips Wall > 03-First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/109881948/the-minnow,2.1,-1,TR,5.8,1,30,36.14846,-115.42939
